This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 202312 CRSP database.,,,,,,
The 1-month TBill return is from Ibbotson and Associates, Inc.,,,,,
,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF
20160104,-1.59,-0.76,0.52,0.35,0.42,0
20160105,0.12,-0.24,0.01,0.05,0.31,0
20160106,-1.35,-0.23,0,0.15,0.04,0
20160107,-2.44,-0.29,0.08,0.49,0.36,0
20160108,-1.11,-0.52,-0.03,0.25,0.05,0
20160111,-0.06,-0.61,0.4,0.65,0.34,0
20160112,0.72,-0.48,-0.77,-0.1,-0.39,0
20160113,-2.67,-0.62,0.81,0.4,0.63,0
20160114,1.65,-0.05,-0.4,-0.58,-0.43,0
20160115,-2.14,0.4,-0.24,0.37,0.45,0
20160119,-0.19,-1.38,-0.06,0.34,0.22,0
20160120,-0.94,1.73,-1.27,0.08,-0.52,0
20160121,0.45,-0.49,-0.02,0.49,0.64,0
20160122,2.08,0.13,-0.2,-0.52,-0.64,0
20160125,-1.71,-0.53,-0.99,0.33,-0.01,0
20160126,1.52,0.62,1.18,0.66,0.63,0
20160127,-1.11,-0.42,1.71,-0.13,0.92,0
20160128,0.49,-0.55,1.26,-0.3,-0.44,0
20160129,2.57,0.6,0.43,0.01,0.41,0
20160201,-0.04,-0.3,-1,0.06,-0.35,0.001
20160202,-2,-0.15,-0.37,0.28,0.4,0.001
20160203,0.46,-0.25,0.47,0.41,0.32,0.001
20160204,0.27,0.3,0.35,0.24,0,0.001
20160205,-2.06,-0.74,1.64,1.06,1.19,0.001
20160208,-1.51,0.13,0.83,1.69,0.87,0.001
20160209,-0.09,-0.55,-0.28,-0.01,0.06,0.001
20160210,0.01,-0.21,-0.55,-0.3,-0.69,0.001
20160211,-1.17,0.3,-1.48,0.37,-0.26,0.001
20160212,1.99,-0.27,1.1,-0.4,0.19,0.001
20160216,1.78,0.52,-0.53,-0.01,-0.25,0.001
20160217,1.75,-0.13,-0.65,-0.43,-0.37,0.001
20160218,-0.51,-0.03,0.22,0.41,0.48,0.001
20160219,0.06,0.27,-0.58,-0.65,-0.39,0.001
20160222,1.43,-0.18,0.26,0.25,-0.26,0.001
20160223,-1.22,0.36,-0.51,0.74,0.51,0.001
20160224,0.53,0.66,-0.3,-0.04,0.16,0.001
20160225,1.1,-0.44,0.23,-0.07,-0.24,0.001
20160226,-0.01,0.86,0.29,-0.56,-0.04,0.001
20160229,-0.69,0.72,0.25,0.13,0.53,0.001
20160301,2.34,-0.65,0.39,-0.58,-0.61,0.001
20160302,0.54,0.6,0.68,-0.7,-0.07,0.001
20160303,0.5,0.57,0.66,0.28,0.32,0.001
20160304,0.37,0.33,0.29,0.1,0.07,0.001
20160307,0.21,1.3,0.55,-0.49,0.42,0.001
20160308,-1.27,-1.28,-0.48,0.67,0.15,0.001
